ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,1594,1,5,0.996,0.001,0.003
1,2,1582,13,5,0.989,0.008,0.003
1,3,1541,54,5,0.963,0.034,0.003
1,4,1474,121,5,0.921,0.076,0.003
1,5,1413,182,5,0.883,0.114,0.003
1,6,1362,233,5,0.851,0.146,0.003
1,7,1302,293,5,0.814,0.183,0.003
1,8,1226,369,5,0.766,0.231,0.003
2,1,1594,1,5,0.996,0.001,0.003
2,2,1567,28,5,0.979,0.018,0.003
2,3,1486,109,5,0.929,0.068,0.003
2,4,1399,196,5,0.874,0.122,0.003
2,5,1292,303,5,0.807,0.189,0.003
2,6,1171,424,5,0.732,0.265,0.003
2,7,1027,568,5,0.642,0.355,0.003
2,8,920,675,5,0.575,0.422,0.003
3,1,1594,1,5,0.996,0.001,0.003
3,2,1553,42,5,0.971,0.026,0.003
3,3,1452,143,5,0.907,0.089,0.003
3,4,1347,248,5,0.842,0.155,0.003
3,5,1211,384,5,0.757,0.240,0.003
3,6,989,606,5,0.618,0.379,0.003
3,7,850,745,5,0.531,0.466,0.003
3,8,719,876,5,0.449,0.547,0.003
4,1,1594,1,5,0.996,0.001,0.003
4,2,1589,6,5,0.993,0.004,0.003
4,3,1565,30,5,0.978,0.019,0.003
4,4,1518,77,5,0.949,0.048,0.003
4,5,1467,128,5,0.917,0.080,0.003
4,6,1394,201,5,0.871,0.126,0.003
4,7,1350,245,5,0.844,0.153,0.003
4,8,1303,292,5,0.814,0.182,0.003
5,1,1594,1,5,0.996,0.001,0.003
5,2,1549,46,5,0.968,0.029,0.003
5,3,1442,153,5,0.901,0.096,0.003
5,4,1341,254,5,0.838,0.159,0.003
5,5,1159,436,5,0.724,0.273,0.003
5,6,956,639,5,0.598,0.399,0.003
5,7,827,768,5,0.517,0.480,0.003
5,8,698,897,5,0.436,0.561,0.003
