Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,1559,1,40,,,1559,1,1559,1,0.974,0.001,0.025
2,1547,13,40,,,1547,13,1547,13,0.967,0.008,0.025
3,1510,50,40,,,1510,50,1510,50,0.944,0.031,0.025
4,1483,77,40,,,1483,77,1483,77,0.927,0.048,0.025
5,1444,116,40,,,1444,116,1444,116,0.902,0.072,0.025
6,1419,141,40,,,1419,141,1419,141,0.887,0.088,0.025
7,1386,174,40,,,1386,174,1386,174,0.866,0.109,0.025
8,1356,204,40,,,1356,204,1356,204,0.848,0.128,0.025
9,1353,207,40,,,1353,207,1353,207,0.846,0.129,0.025
10,1346,214,40,,,1346,214,1346,214,0.841,0.134,0.025
11,1338,222,40,,,1338,222,1338,222,0.836,0.139,0.025
12,1330,230,40,,,1330,230,1330,230,0.831,0.144,0.025
13,1318,242,40,,,1318,242,1318,242,0.824,0.151,0.025
14,1311,249,40,,,1311,249,1311,249,0.819,0.156,0.025
15,1505,55,40,,,1505,55,1505,55,0.941,0.034,0.025
16,1260,300,40,,,1260,300,1260,300,0.787,0.188,0.025
