fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
C1,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C2,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C3,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C4,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C5,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C6,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C7,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C8,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C9,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C10,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C11,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C12,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C13,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C14,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C15,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
C16,,,,,51.621244,-115.608378,,,,,,,,,,0.75,,20,
