ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,8,1,0,0.889,0.111,0.000
1,2,1,8,0,0.111,0.889,0.000
1,3,8,1,0,0.889,0.111,0.000
1,4,8,1,0,0.889,0.111,0.000
1,5,8,1,0,0.889,0.111,0.000
1,6,2,7,0,0.222,0.778,0.000
1,7,6,3,0,0.667,0.333,0.000
1,8,4,5,0,0.444,0.556,0.000
1,9,1,8,0,0.111,0.889,0.000
2,1,6,3,0,0.667,0.333,0.000
2,2,3,6,0,0.333,0.667,0.000
2,3,8,1,0,0.889,0.111,0.000
2,4,1,8,0,0.111,0.889,0.000
2,5,0,9,0,0.000,1.000,0.000
3,1,7,2,0,0.778,0.222,0.000
3,2,6,3,0,0.667,0.333,0.000
3,3,8,1,0,0.889,0.111,0.000
3,4,4,5,0,0.444,0.556,0.000
3,5,1,8,0,0.111,0.889,0.000
3,6,0,9,0,0.000,1.000,0.000
4,1,8,1,0,0.889,0.111,0.000
4,2,1,8,0,0.111,0.889,0.000
4,3,8,1,0,0.889,0.111,0.000
4,4,8,1,0,0.889,0.111,0.000
4,5,8,1,0,0.889,0.111,0.000
4,6,2,7,0,0.222,0.778,0.000
4,7,6,3,0,0.667,0.333,0.000
4,8,4,5,0,0.444,0.556,0.000
4,9,1,8,0,0.111,0.889,0.000
5,1,5,4,0,0.556,0.444,0.000
5,2,1,8,0,0.111,0.889,0.000
5,3,8,1,0,0.889,0.111,0.000
5,4,0,9,0,0.000,1.000,0.000
