fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C5,,,,,51.621244,-115.608378,1323.0,,,,,,63.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1257.0,,,,,,33.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1250.0,,,,,,1.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1236.0,,,,,,315.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1337.0,,,,,,297.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1385.0,,,,,,298.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1445.0,,,,,,291.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1494.0,,,,,,294.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1541.0,,,,,,316.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1554.0,,,,,,347.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1561.0,,,,,,355.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1562.0,,,,,,11.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1552.0,,,,,,20.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1535.0,,,,,,29.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1506.0,,,,,,50.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1451.0,,,,,,53.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1424.0,,,,,,54.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1381.0,,,,,,71.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1289.0,,,,,,61.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1272.0,,,,,,46.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1237.0,,,,,,62.0,,,1.2,,20,,5
