Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-08-2018 0:00,0,13.4,51,2,267,77,25,200,0.96,38.1,2.04
JCB,07-08-2018 1:00,0,12.6,52,0,271,75.5,25,200,0.79,38.1,1.4
JCB,07-08-2018 2:00,0,11.9,55,0,265,74.1,25,200,0.73,38.1,1.12
JCB,07-08-2018 3:00,0,11.5,56,4,260,72.7,25,200,0.84,38.1,1.61
JCB,07-08-2018 4:00,0,11.2,59,2,262,71.4,25,200,0.72,38.1,1.07
JCB,07-08-2018 5:00,0,10.7,61,1,262,70,25,200,0.66,38.1,0.91
JCB,07-08-2018 6:00,0,10.7,62,4,267,68.7,25,200,0.73,38.1,1.14
JCB,07-08-2018 7:00,0,12.7,56,2,259,73.1,25,200,0.77,38.1,1.33
JCB,07-08-2018 8:00,0,15.9,49,2,257,75,25,200,0.85,38.1,1.63
JCB,07-08-2018 9:00,0,20.1,45,33,272,76.9,25,200,4.56,38.1,10.56
JCB,07-08-2018 10:00,0,22.8,36,29,275,80.3,25,200,5.06,38.1,11.5
JCB,07-08-2018 11:00,0,24.4,23,15,319,83.8,25,200,3.82,38.1,9.09
JCB,07-08-2018 12:00,0,25.1,25,17,322,88,25,200,7.58,38.1,15.77
JCB,07-08-2018 13:00,0,25.1,25,21,287,89.99,29.06,207.52,12.33,43.05,23.92
JCB,07-08-2018 14:00,0,24.2,30,25,282,90.66,29.06,207.52,16.61,43.05,29.38
JCB,07-08-2018 15:00,0,26.7,18,27,49,91.29,29.06,207.52,20.08,43.05,33.38
JCB,07-08-2018 16:00,0,27.6,19,37,240,91.79,29.06,207.52,35.68,43.05,48.41
JCB,07-08-2018 17:00,0,26.6,21,43,263,92.36,29.06,207.52,50.87,43.05,60.3
JCB,07-08-2018 18:00,0,25.9,17,45,258,91.76,29.06,207.52,49.66,43.05,59.42
JCB,07-08-2018 19:00,0,23,37,46,39,91.16,29.06,207.52,46.79,43.05,57.29
JCB,07-08-2018 20:00,0,18.9,48,18,38,89.76,29.06,207.52,10.26,43.05,21
JCB,07-08-2018 21:00,0,13.6,67,15,211,88.46,29.06,207.52,7.32,43.05,16.39
JCB,07-08-2018 22:00,0,10,82,36,144,87.06,29.06,207.52,17.26,43.05,30.16
JCB,07-08-2018 23:00,0,8,86,24,291,85.66,29.06,207.52,7.74,43.05,17.08
