fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C1,,,,,51.621244,-115.608378,2148.0,,,,,82.0,189.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2152.0,,,,,84.0,165.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2104.0,,,,,79.0,161.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2099.0,,,,,73.0,188.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2129.0,,,,,74.0,179.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2097.0,,,,,69.0,165.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2081.0,,,,,52.0,173.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2073.0,,,,,45.0,163.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2056.0,,,,,51.0,144.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2014.0,,,,,39.0,168.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2040.0,,,,,43.0,213.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2063.0,,,,,38.0,188.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2050.0,,,,,41.0,166.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2038.0,,,,,40.0,189.0,,,0.75,,20,,1
C3,,,,,51.621244,-115.608378,2066.0,,,,,51.0,220.0,,,1.15,,20,,3
C3,,,,,51.621244,-115.608378,2101.0,,,,,53.0,197.0,,,1.15,,20,,3
C3,,,,,51.621244,-115.608378,2082.0,,,,,69.0,155.0,,,1.15,,20,,3
C3,,,,,51.621244,-115.608378,2042.0,,,,,72.0,146.0,,,1.15,,20,,3
C1,,,,,51.621244,-115.608378,2010.0,,,,,70.0,140.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1950.0,,,,,65.0,144.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1931.0,,,,,55.0,169.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1949.0,,,,,55.0,177.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,1945.0,,,,,59.0,177.0,,,1.15,,20,,3
C2,,,,,51.621244,-115.608378,1948.0,,,,,63.0,183.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1952.0,,,,,67.0,180.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1946.0,,,,,71.0,168.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1923.0,,,,,68.0,171.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,1928.0,,,,,57.0,187.0,,,1.15,,20,,3
C3,,,,,51.621244,-115.608378,1929.0,,,,,36.0,175.0,,,1.15,,20,,3
C2,,,,,51.621244,-115.608378,1913.0,,,,,39.0,114.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1858.0,,,,,45.0,90.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1823.0,,,,,41.0,77.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1780.0,,,,,77.0,79.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1666.0,,,,,74.0,74.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1635.0,,,,,43.0,60.0,,,0.8,,20,,2
C3,,,,,51.621244,-115.608378,1595.0,,,,,43.0,55.0,,,1.15,,20,,3
C3,,,,,51.621244,-115.608378,1563.0,,,,,71.0,64.0,,,1.15,,20,,3
C5,,,,,51.621244,-115.608378,1468.0,,,,,76.0,61.0,,,1.2,,20,,5
C3,,,,,51.621244,-115.608378,1432.0,,,,,54.0,41.0,,,1.15,,20,,3
C5,,,,,51.621244,-115.608378,1398.0,,,,,67.0,52.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1323.0,,,,,58.0,53.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1299.0,,,,,34.0,40.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1276.0,,,,,31.0,45.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1246.0,,,,,30.0,51.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1224.0,,,,,24.0,52.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1209.0,,,,,15.0,48.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1203.0,,,,,11.0,66.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1193.0,,,,,6.0,80.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1191.0,,,,,2.0,34.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1190.0,,,,,6.0,33.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1184.0,,,,,11.0,55.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1170.0,,,,,14.0,66.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1157.0,,,,,10.0,61.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1152.0,,,,,10.0,55.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1139.0,,,,,13.0,58.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1128.0,,,,,12.0,53.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1119.0,,,,,12.0,52.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1109.0,,,,,14.0,67.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1092.0,,,,,12.0,81.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1085.0,,,,,6.0,79.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1080.0,,,,,7.0,75.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1071.0,,,,,6.0,78.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1067.0,,,,,5.0,69.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1061.0,,,,,5.0,41.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1061.0,,,,,11.0,53.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1040.0,,,,,15.0,65.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1030.0,,,,,11.0,65.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1024.0,,,,,15.0,81.0,,,1.2,,20,,5
C1,,,,,51.621244,-115.608378,999.0,,,,,9.0,92.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1001.0,,,,,6.0,257.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1014.0,,,,,7.0,272.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1016.0,,,,,9.0,284.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1034.0,,,,,4.0,341.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1019.0,,,,,18.0,68.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,998.0,,,,,32.0,82.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,947.0,,,,,30.0,91.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,936.0,,,,,12.0,86.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,928.0,,,,,7.0,57.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,924.0,,,,,8.0,51.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,917.0,,,,,10.0,55.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,906.0,,,,,11.0,64.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,895.0,,,,,12.0,76.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,881.0,,,,,13.0,78.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,873.0,,,,,12.0,57.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,866.0,,,,,21.0,45.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,844.0,,,,,39.0,58.0,,,1.2,,20,,5
