Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-08-2018 0:00,0,6.3,92,2,259,77,25,200,0.96,38.1,2.04
JCB,09-08-2018 1:00,0,5.6,91,0,191,75.5,25,200,0.79,38.1,1.4
JCB,09-08-2018 2:00,0,4.5,89,0,307,74.1,25,200,0.73,38.1,1.12
JCB,09-08-2018 3:00,0,4.4,90,4,311,72.7,25,200,0.84,38.1,1.61
JCB,09-08-2018 4:00,0,4.4,83,2,283,71.4,25,200,0.72,38.1,1.07
JCB,09-08-2018 5:00,0,4.8,81,1,276,70,25,200,0.66,38.1,0.91
JCB,09-08-2018 6:00,0,5.1,80,4,271,68.7,25,200,0.73,38.1,1.14
JCB,09-08-2018 7:00,0,10.7,68,2,230,69.8,25,200,0.69,38.1,0.96
JCB,09-08-2018 8:00,0,15.9,50,2,245,75,25,200,0.85,38.1,1.63
JCB,09-08-2018 9:00,0,20.1,42,33,266,76.9,25,200,4.56,38.1,10.56
JCB,09-08-2018 10:00,0,24.3,39,29,235,80.3,25,200,5.06,38.1,11.5
JCB,09-08-2018 11:00,0,27.7,26,15,57,83.8,25,200,3.82,38.1,9.09
JCB,09-08-2018 12:00,0,29.5,16,17,272,88,25,200,7.58,38.1,15.77
JCB,09-08-2018 13:00,0,30.2,14,21,263,93.77,30.56,208.44,21.06,44.72,35.07
JCB,09-08-2018 14:00,0,30.2,18,25,298,94.37,30.56,208.44,28,44.72,42.21
JCB,09-08-2018 15:00,0,30.3,18,27,285,94.9,30.56,208.44,33.27,44.72,47.11
JCB,09-08-2018 16:00,0,30.1,17,37,279,95.4,30.56,208.44,58.96,44.72,67.03
JCB,09-08-2018 17:00,0,29.4,17,43,290,95.9,30.56,208.44,82.96,44.72,82.12
JCB,09-08-2018 18:00,0,28.7,22,45,292,95.3,30.56,208.44,81.24,44.72,81.12
JCB,09-08-2018 19:00,0,26.5,29,46,290,94.77,30.56,208.44,77.62,44.72,78.97
JCB,09-08-2018 20:00,0,20.6,47,18,142,93.4,30.56,208.44,17.18,44.72,30.61
JCB,09-08-2018 21:00,0,14.5,63,15,302,92.07,30.56,208.44,12.27,44.72,24.3
JCB,09-08-2018 22:00,0,11.6,73,36,272,90.7,30.56,208.44,29.05,44.72,43.22
JCB,09-08-2018 23:00,0,10.1,73,24,284,89.4,30.56,208.44,13.17,44.72,25.54
