ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,1559,1,40,0.974,0.001,0.025
1,2,1547,13,40,0.967,0.008,0.025
1,3,1510,50,40,0.944,0.031,0.025
1,4,1483,77,40,0.927,0.048,0.025
1,5,1444,116,40,0.902,0.072,0.025
1,6,1419,141,40,0.887,0.088,0.025
1,7,1386,174,40,0.866,0.109,0.025
1,8,1356,204,40,0.848,0.128,0.025
1,9,1353,207,40,0.846,0.129,0.025
1,10,1346,214,40,0.841,0.134,0.025
1,11,1338,222,40,0.836,0.139,0.025
1,12,1330,230,40,0.831,0.144,0.025
1,13,1318,242,40,0.824,0.151,0.025
1,14,1311,249,40,0.819,0.156,0.025
1,15,1505,55,40,0.941,0.034,0.025
1,16,1260,300,40,0.787,0.188,0.025
