fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,1242.0,,,,,19.0,338.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1239.0,,,,,22.0,352.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1239.0,,,,,25.0,359.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1236.0,,,,,29.0,353.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1237.0,,,,,36.0,350.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1241.0,,,,,40.0,355.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1244.0,,,,,38.0,5.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1244.0,,,,,31.0,21.0,,,0.75,,20,,1
M1,,,,,51.621244,-115.608378,1231.0,,,,,25.0,17.0,,,,,20,,60
M1,,,,,51.621244,-115.608378,1230.0,,,,,23.0,9.0,,,,,20,,60
D1,,,,,51.621244,-115.608378,1226.0,,,,,24.0,22.0,,,,,20,,13
C5,,,,,51.621244,-115.608378,1213.0,,,,,25.0,21.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,1206.0,,,,,26.0,20.0,,,,,20,,60
D1,,,,,51.621244,-115.608378,1194.0,,,,,27.0,26.0,,,,,20,,13
D1,,,,,51.621244,-115.608378,1182.0,,,,,35.0,39.0,,,,,20,,13
D1,,,,,51.621244,-115.608378,1154.0,,,,,41.0,40.0,,,,,20,,13
D1,,,,,51.621244,-115.608378,1133.0,,,,,40.0,34.0,,,,,20,,13
M1,,,,,51.621244,-115.608378,1107.0,,,,,52.0,45.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,1057.0,,,,,54.0,37.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1048.0,,,,,51.0,23.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1017.0,,,,,47.0,22.0,,,1.2,,20,,5
D1,,,,,51.621244,-115.608378,1007.0,,,,,50.0,28.0,,,,,20,,13
C5,,,,,51.621244,-115.608378,950.0,,,,,53.0,27.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,935.0,,,,,50.0,13.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,927.0,,,,,49.0,17.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,911.0,,,,,46.0,18.0,,,1.2,,20,,5
O1a,,,,,51.621244,-115.608378,903.0,,,,,42.0,12.0,,,0.35,60.0,20,,31
M1,,,,,51.621244,-115.608378,895.0,,,,,38.0,21.0,,,,,20,,60
M1,,,,,51.621244,-115.608378,881.0,,,,,40.0,45.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,842.0,,,,,38.0,50.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,823.0,,,,,32.0,52.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,792.0,,,,,20.0,15.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,811.0,,,,,25.0,347.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,800.0,,,,,28.0,17.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,794.0,,,,,28.0,15.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,787.0,,,,,35.0,30.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,762.0,,,,,39.0,29.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,754.0,,,,,33.0,20.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,739.0,,,,,33.0,26.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,720.0,,,,,32.0,22.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,712.0,,,,,28.0,14.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,707.0,,,,,26.0,25.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,684.0,,,,,31.0,46.0,,,1.2,,20,,5
O1a,,,,,51.621244,-115.608378,658.0,,,,,32.0,48.0,,,0.35,60.0,20,,31
C5,,,,,51.621244,-115.608378,636.0,,,,,22.0,32.0,,,1.2,,20,,5
O1a,,,,,51.621244,-115.608378,626.0,,,,,9.0,358.0,,,0.35,60.0,20,,31
D1,,,,,51.621244,-115.608378,637.0,,,,,9.0,230.0,,,,,20,,13
D1,,,,,51.621244,-115.608378,647.0,,,,,18.0,200.0,,,,,20,,13
D1,,,,,51.621244,-115.608378,652.0,,,,,21.0,196.0,,,,,20,,13
C5,,,,,51.621244,-115.608378,659.0,,,,,22.0,206.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,671.0,,,,,23.0,204.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,680.0,,,,,26.0,197.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,689.0,,,,,39.0,224.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,738.0,,,,,45.0,229.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,758.0,,,,,34.0,217.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,781.0,,,,,29.0,213.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,794.0,,,,,30.0,212.0,,,1.2,,20,,5
C1,,,,,51.621244,-115.608378,810.0,,,,,30.0,199.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,803.0,,,,,27.0,182.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,807.0,,,,,30.0,204.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,831.0,,,,,38.0,211.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,849.0,,,,,40.0,204.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,868.0,,,,,42.0,209.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,905.0,,,,,46.0,212.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,929.0,,,,,47.0,201.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,942.0,,,,,47.0,188.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,946.0,,,,,49.0,184.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,944.0,,,,,53.0,180.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,939.0,,,,,50.0,175.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,921.0,,,,,30.0,187.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,935.0,,,,,56.0,263.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1052.0,,,,,71.0,270.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1098.0,,,,,40.0,259.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1129.0,,,,,53.0,250.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1188.0,,,,,58.0,243.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1227.0,,,,,52.0,231.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1269.0,,,,,52.0,222.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1298.0,,,,,58.0,213.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1323.0,,,,,66.0,196.0,,,1.2,,20,,5
C1,,,,,51.621244,-115.608378,1324.0,,,,,73.0,180.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1325.0,,,,,74.0,182.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1334.0,,,,,71.0,185.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1342.0,,,,,63.0,183.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1339.0,,,,,53.0,186.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1366.0,,,,,46.0,172.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1344.0,,,,,49.0,160.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,1329.0,,,,,50.0,176.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1337.0,,,,,57.0,172.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1316.0,,,,,66.0,161.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1298.0,,,,,60.0,168.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1289.0,,,,,50.0,167.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1269.0,,,,,53.0,140.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1215.0,,,,,50.0,136.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1195.0,,,,,36.0,169.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1202.0,,,,,40.0,171.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1181.0,,,,,45.0,163.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1178.0,,,,,43.0,169.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1171.0,,,,,41.0,164.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1154.0,,,,,47.0,167.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1139.0,,,,,60.0,173.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1131.0,,,,,66.0,172.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1121.0,,,,,68.0,160.0,,,1.2,,20,,5
C1,,,,,51.621244,-115.608378,1078.0,,,,,74.0,138.0,,,0.75,,20,,1
O1a,,,,,51.621244,-115.608378,1027.0,,,,,55.0,144.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,1015.0,,,,,55.0,210.0,,,0.35,60.0,20,,31
C1,,,,,51.621244,-115.608378,1094.0,,,,,72.0,221.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1136.0,,,,,56.0,196.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1134.0,,,,,59.0,151.0,,,1.2,,20,,5
C1,,,,,51.621244,-115.608378,1246.0,,,,,14.0,308.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1264.0,,,,,16.0,331.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1270.0,,,,,20.0,347.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1272.0,,,,,31.0,336.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1296.0,,,,,43.0,340.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1305.0,,,,,46.0,353.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1308.0,,,,,45.0,11.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1272.0,,,,,45.0,22.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1257.0,,,,,41.0,12.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1252.0,,,,,39.0,8.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1244.0,,,,,37.0,16.0,,,0.75,,20,,1
D1,,,,,51.621244,-115.608378,1233.0,,,,,35.0,16.0,,,,,20,,13
M1,,,,,51.621244,-115.608378,1228.0,,,,,32.0,22.0,,,,,20,,60
M1,,,,,51.621244,-115.608378,1215.0,,,,,27.0,35.0,,,,,20,,60
D1,,,,,51.621244,-115.608378,1204.0,,,,,27.0,46.0,,,,,20,,13
O1a,,,,,51.621244,-115.608378,1176.0,,,,,31.0,49.0,,,0.35,60.0,20,,31
D1,,,,,51.621244,-115.608378,1153.0,,,,,31.0,45.0,,,,,20,,13
M1,,,,,51.621244,-115.608378,1130.0,,,,,40.0,50.0,,,,,20,,60
M1,,,,,51.621244,-115.608378,1092.0,,,,,40.0,44.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,1074.0,,,,,36.0,34.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1047.0,,,,,36.0,32.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1035.0,,,,,39.0,26.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,1025.0,,,,,49.0,20.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,1013.0,,,,,53.0,13.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,999.0,,,,,53.0,19.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,971.0,,,,,50.0,21.0,,,1.2,,20,,5
M1,,,,,51.621244,-115.608378,958.0,,,,,44.0,16.0,,,,,20,,60
M1,,,,,51.621244,-115.608378,946.0,,,,,43.0,31.0,,,,,20,,60
M1,,,,,51.621244,-115.608378,905.0,,,,,46.0,44.0,,,,,20,,60
C5,,,,,51.621244,-115.608378,871.0,,,,,44.0,45.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,841.0,,,,,41.0,45.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,805.0,,,,,35.0,354.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,842.0,,,,,48.0,343.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,831.0,,,,,50.0,15.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,821.0,,,,,39.0,20.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,817.0,,,,,33.0,28.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,792.0,,,,,34.0,33.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,774.0,,,,,31.0,28.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,759.0,,,,,30.0,28.0,,,1.2,,20,,5
