Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,06-08-2018 0:00,0,7.3,95,2,285,77,25,200,0.96,38.1,2.04
JCB,06-08-2018 1:00,0,7,95,0,206,75.5,25,200,0.79,38.1,1.4
JCB,06-08-2018 2:00,0,8.7,84,0,345,74.1,25,200,0.73,38.1,1.12
JCB,06-08-2018 3:00,0,8.2,84,4,276,72.7,25,200,0.84,38.1,1.61
JCB,06-08-2018 4:00,0,8.2,80,2,280,71.4,25,200,0.72,38.1,1.07
JCB,06-08-2018 5:00,0,7,82,1,285,70,25,200,0.66,38.1,0.91
JCB,06-08-2018 6:00,0,6.9,80,4,331,68.7,25,200,0.73,38.1,1.14
JCB,06-08-2018 7:00,0,11,65,2,162,73.1,25,200,0.77,38.1,1.33
JCB,06-08-2018 8:00,0,13.8,57,2,268,75,25,200,0.85,38.1,1.63
JCB,06-08-2018 9:00,0,18.1,48,33,272,74,25,200,3.84,38.1,9.14
JCB,06-08-2018 10:00,0,22.2,29,29,265,80.3,25,200,5.06,38.1,11.5
JCB,06-08-2018 11:00,0,22.9,27,15,287,83.8,25,200,3.82,38.1,9.09
JCB,06-08-2018 12:00,0,23.6,30,17,292,88,25,200,7.58,38.1,15.77
JCB,06-08-2018 13:00,0,24.2,27,21,309,89.33,28.81,207.36,11.22,42.77,22.31
JCB,06-08-2018 14:00,0,24.9,29,25,290,90.03,28.81,207.36,15.17,42.77,27.54
JCB,06-08-2018 15:00,0,25.4,24,27,255,90.66,28.81,207.36,18.37,42.77,31.36
JCB,06-08-2018 16:00,0,23.9,22,37,268,91.16,28.81,207.36,32.66,42.77,45.64
JCB,06-08-2018 17:00,0,23.5,25,43,295,91.73,28.81,207.36,46.53,42.77,56.94
JCB,06-08-2018 18:00,0,23.4,24,45,282,91.16,28.81,207.36,45.62,42.77,56.25
JCB,06-08-2018 19:00,0,22.3,28,46,248,90.56,28.81,207.36,42.97,42.77,54.21
JCB,06-08-2018 20:00,0,19.8,31,18,263,89.16,28.81,207.36,9.42,42.77,19.68
JCB,06-08-2018 21:00,0,19.4,34,15,243,87.86,28.81,207.36,6.72,42.77,15.3
JCB,06-08-2018 22:00,0,18.9,33,36,251,86.46,28.81,207.36,15.86,42.77,28.39
JCB,06-08-2018 23:00,0,16.8,42,24,289,85.03,28.81,207.36,7.09,42.77,15.94
