Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,17-08-2018 0:00,0,9.6,64,2,114,77,25,200,0.96,38.1,2.04
JCB,17-08-2018 1:00,0,9.7,57,0,289,75.5,25,200,0.79,38.1,1.4
JCB,17-08-2018 2:00,0,11.1,55,0,276,74.1,25,200,0.73,38.1,1.12
JCB,17-08-2018 3:00,0,11.1,55,4,278,72.7,25,200,0.84,38.1,1.61
JCB,17-08-2018 4:00,0,10.2,56,2,244,71.4,25,200,0.72,38.1,1.07
JCB,17-08-2018 5:00,0,9.9,61,1,250,70,25,200,0.66,38.1,0.91
JCB,17-08-2018 6:00,0,10.4,58,4,273,68.7,25,200,0.73,38.1,1.14
JCB,17-08-2018 7:00,0,13.6,48,2,255,73.1,25,200,0.77,38.1,1.33
JCB,17-08-2018 8:00,0,17.4,42,2,273,75,25,200,0.85,38.1,1.63
JCB,17-08-2018 9:00,0,21.8,33,33,288,76.9,25,200,4.56,38.1,10.56
JCB,17-08-2018 10:00,0,24.8,31,29,127,80.3,25,200,5.06,38.1,11.5
JCB,17-08-2018 11:00,0,25.8,33,15,106,83.8,25,200,3.82,38.1,9.09
JCB,17-08-2018 12:00,0,26.7,28,17,27,88,25,200,7.58,38.1,15.77
JCB,17-08-2018 13:00,0,27,25,21,115,90.44,29.35,207.86,13.16,43.39,25.14
JCB,17-08-2018 14:00,0,27,29,25,99,91.07,29.35,207.86,17.62,43.39,30.7
JCB,17-08-2018 15:00,0,26.6,30,27,91,91.74,29.35,207.86,21.42,43.39,34.97
JCB,17-08-2018 16:00,0,24.9,34,37,101,92.24,29.35,207.86,38.06,43.39,50.58
JCB,17-08-2018 17:00,0,24.2,39,43,85,92.77,29.35,207.86,53.92,43.39,62.69
JCB,17-08-2018 18:00,0,24,37,45,83,92.17,29.35,207.86,52.66,43.39,61.8
JCB,17-08-2018 19:00,0,23.5,42,46,75,91.57,29.35,207.86,49.63,43.39,59.6
JCB,17-08-2018 20:00,0,22.4,46,18,94,90.17,29.35,207.86,10.89,43.39,22
JCB,17-08-2018 21:00,0,16.3,70,15,283,88.87,29.35,207.86,7.77,43.39,17.2
JCB,17-08-2018 22:00,0,13.1,78,36,315,87.47,29.35,207.86,18.31,43.39,31.5
JCB,17-08-2018 23:00,0,11.2,85,24,311,86.07,29.35,207.86,8.2,43.39,17.91
