fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
C2,,,,,51.621244,-115.608378,1358.0,,,,,24.0,244.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1379.0,,,,,27.0,249.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1403.0,,,,,31.0,254.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1441.0,,,,,27.0,242.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1458.0,,,,,24.0,226.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1476.0,,,,,36.0,237.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1524.0,,,,,38.0,232.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1543.0,,,,,31.0,210.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1558.0,,,,,29.0,207.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1569.0,,,,,29.0,210.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1589.0,,,,,29.0,193.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1586.0,,,,,30.0,180.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1585.0,,,,,26.0,174.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1575.0,,,,,22.0,173.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1579.0,,,,,19.0,189.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1583.0,,,,,20.0,182.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1579.0,,,,,21.0,162.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1569.0,,,,,21.0,192.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1591.0,,,,,26.0,216.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1601.0,,,,,21.0,187.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1597.0,,,,,23.0,175.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1593.0,,,,,28.0,191.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1602.0,,,,,30.0,199.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1615.0,,,,,37.0,220.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1648.0,,,,,41.0,224.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1671.0,,,,,36.0,211.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1688.0,,,,,53.0,231.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1765.0,,,,,56.0,231.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1787.0,,,,,37.0,215.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1804.0,,,,,36.0,230.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1841.0,,,,,48.0,243.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1895.0,,,,,42.0,237.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1914.0,,,,,29.0,226.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1932.0,,,,,31.0,243.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1967.0,,,,,24.0,238.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1974.0,,,,,14.0,202.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1977.0,,,,,12.0,191.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1979.0,,,,,11.0,161.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1970.0,,,,,12.0,134.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1962.0,,,,,12.0,118.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1949.0,,,,,26.0,100.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1908.0,,,,,23.0,102.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1901.0,,,,,10.0,131.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1894.0,,,,,11.0,122.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1884.0,,,,,28.0,98.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1838.0,,,,,30.0,91.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1823.0,,,,,11.0,56.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1823.0,,,,,14.0,9.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1818.0,,,,,18.0,3.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1814.0,,,,,18.0,358.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1815.0,,,,,17.0,356.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1813.0,,,,,19.0,15.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1800.0,,,,,25.0,18.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1793.0,,,,,31.0,14.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1778.0,,,,,36.0,34.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1757.0,,,,,26.0,43.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1755.0,,,,,10.0,8.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1755.0,,,,,7.0,328.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1763.0,,,,,14.0,297.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1782.0,,,,,12.0,330.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1773.0,,,,,17.0,10.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1771.0,,,,,36.0,323.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1825.0,,,,,53.0,318.0,,,0.8,,20,,2
C5,,,,,51.621244,-115.608378,1845.0,,,,,49.0,326.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1874.0,,,,,56.0,325.0,,,1.2,,20,,5
C5,,,,,51.621244,-115.608378,1915.0,,,,,86.0,314.0,,,1.2,,20,,5
C2,,,,,51.621244,-115.608378,2015.0,,,,,90.0,319.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2051.0,,,,,66.0,340.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2060.0,,,,,58.0,348.0,,,0.75,,20,,1
NF,,,,,51.621244,-115.608378,2057.0,,,,,76.0,14.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,1978.0,,,,,99.0,15.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,1982.0,,,,,93.0,356.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2017.0,,,,,69.0,325.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2094.0,,,,,48.0,279.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,2132.0,,,,,26.0,223.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2142.0,,,,,22.0,159.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2094.0,,,,,36.0,117.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2051.0,,,,,41.0,114.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2019.0,,,,,37.0,123.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1990.0,,,,,50.0,115.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1927.0,,,,,50.0,111.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1891.0,,,,,30.0,116.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1870.0,,,,,29.0,108.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1834.0,,,,,33.0,104.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1811.0,,,,,28.0,106.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1787.0,,,,,30.0,109.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1748.0,,,,,47.0,113.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1690.0,,,,,51.0,124.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1665.0,,,,,47.0,135.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1631.0,,,,,68.0,121.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1538.0,,,,,72.0,124.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1522.0,,,,,59.0,132.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1472.0,,,,,63.0,127.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1414.0,,,,,74.0,127.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1348.0,,,,,71.0,135.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1315.0,,,,,60.0,150.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,1289.0,,,,,59.0,148.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,1255.0,,,,,60.0,127.0,,,0.8,,20,,2
C1,,,,,51.621244,-115.608378,1183.0,,,,,35.0,101.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1173.0,,,,,26.0,353.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1189.0,,,,,51.0,348.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1195.0,,,,,62.0,358.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,1188.0,,,,,63.0,353.0,,,0.75,,20,,1
C5,,,,,51.621244,-115.608378,1213.0,,,,,73.0,338.0,,,1.2,,20,,5
