fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
C2,,,,,51.621244,-115.608378,2138.0,,,,,16.0,342.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2144.0,,,,,24.0,324.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2163.0,,,,,32.0,308.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2198.0,,,,,41.0,298.0,,,,,20,
NF,,,,,51.621244,-115.608378,2234.0,,,,,42.0,305.0,,,,,20,
NF,,,,,51.621244,-115.608378,2259.0,,,,,44.0,315.0,,,,,20,
NF,,,,,51.621244,-115.608378,2290.0,,,,,45.0,312.0,,,,,20,
NF,,,,,51.621244,-115.608378,2335.0,,,,,19.0,45.0,,,,,20,
NF,,,,,51.621244,-115.608378,2286.0,,,,,65.0,91.0,,,,,20,
NF,,,,,51.621244,-115.608378,2212.0,,,,,42.0,93.0,,,,,20,
C1,,,,,51.621244,-115.608378,2195.0,,,,,16.0,86.0,,,0.75,,20,
C1,,,,,51.621244,-115.608378,2178.0,,,,,24.0,86.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2147.0,,,,,27.0,85.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2123.0,,,,,19.0,84.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2110.0,,,,,3.0,153.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2128.0,,,,,9.0,217.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2122.0,,,,,6.0,123.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2109.0,,,,,8.0,91.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2108.0,,,,,7.0,162.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2116.0,,,,,16.0,183.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2166.0,,,,,40.0,345.0,,,,,20,
NF,,,,,51.621244,-115.608378,2188.0,,,,,52.0,335.0,,,,,20,
NF,,,,,51.621244,-115.608378,2207.0,,,,,60.0,334.0,,,,,20,
NF,,,,,51.621244,-115.608378,2231.0,,,,,67.0,327.0,,,,,20,
NF,,,,,51.621244,-115.608378,2284.0,,,,,69.0,325.0,,,,,20,
NF,,,,,51.621244,-115.608378,2323.0,,,,,66.0,329.0,,,,,20,
NF,,,,,51.621244,-115.608378,2366.0,,,,,47.0,338.0,,,,,20,
NF,,,,,51.621244,-115.608378,2363.0,,,,,44.0,65.0,,,,,20,
NF,,,,,51.621244,-115.608378,2265.0,,,,,73.0,90.0,,,,,20,
NF,,,,,51.621244,-115.608378,2210.0,,,,,38.0,97.0,,,,,20,
NF,,,,,51.621244,-115.608378,2200.0,,,,,16.0,102.0,,,,,20,
C1,,,,,51.621244,-115.608378,2179.0,,,,,23.0,95.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2152.0,,,,,25.0,89.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2128.0,,,,,20.0,87.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2109.0,,,,,12.0,116.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2101.0,,,,,14.0,188.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2118.0,,,,,12.0,203.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2117.0,,,,,6.0,110.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2094.0,,,,,10.0,95.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2078.0,,,,,7.0,144.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2211.0,,,,,61.0,346.0,,,,,20,
NF,,,,,51.621244,-115.608378,2241.0,,,,,69.0,335.0,,,,,20,
NF,,,,,51.621244,-115.608378,2277.0,,,,,72.0,335.0,,,,,20,
NF,,,,,51.621244,-115.608378,2312.0,,,,,68.0,332.0,,,,,20,
NF,,,,,51.621244,-115.608378,2348.0,,,,,53.0,327.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2379.0,,,,,32.0,318.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2394.0,,,,,5.0,33.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2364.0,,,,,58.0,97.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2273.0,,,,,79.0,97.0,,,,,20,
NF,,,,,51.621244,-115.608378,2202.0,,,,,39.0,105.0,,,,,20,
NF,,,,,51.621244,-115.608378,2189.0,,,,,18.0,126.0,,,,,20,
C1,,,,,51.621244,-115.608378,2171.0,,,,,23.0,114.0,,,0.75,,20,
C1,,,,,51.621244,-115.608378,2149.0,,,,,24.0,109.0,,,0.75,,20,
C2,,,,,51.621244,-115.608378,2127.0,,,,,18.0,103.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2107.0,,,,,17.0,95.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2086.0,,,,,10.0,136.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2094.0,,,,,18.0,206.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2113.0,,,,,12.0,204.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2111.0,,,,,6.0,56.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2098.0,,,,,15.0,17.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2284.0,,,,,60.0,347.0,,,,,20,
NF,,,,,51.621244,-115.608378,2314.0,,,,,55.0,334.0,,,,,20,
NF,,,,,51.621244,-115.608378,2341.0,,,,,40.0,328.0,,,,,20,
NF,,,,,51.621244,-115.608378,2364.0,,,,,24.0,315.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2374.0,,,,,11.0,272.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2372.0,,,,,13.0,207.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2372.0,,,,,24.0,142.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2338.0,,,,,67.0,111.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2248.0,,,,,80.0,108.0,,,,,20,
NF,,,,,51.621244,-115.608378,2187.0,,,,,41.0,120.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2176.0,,,,,20.0,142.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2161.0,,,,,23.0,123.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2133.0,,,,,22.0,116.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2118.0,,,,,13.0,113.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2113.0,,,,,13.0,86.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2091.0,,,,,15.0,83.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2074.0,,,,,9.0,164.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2086.0,,,,,21.0,210.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2107.0,,,,,16.0,213.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2112.0,,,,,4.0,209.0,,,0.8,,20,
NF,,,,,51.621244,-115.608378,2334.0,,,,,15.0,334.0,,,,,20,
NF,,,,,51.621244,-115.608378,2345.0,,,,,11.0,286.0,,,,,20,
NF,,,,,51.621244,-115.608378,2347.0,,,,,11.0,221.0,,,,,20,
NF,,,,,51.621244,-115.608378,2346.0,,,,,17.0,198.0,,,,,20,
NF,,,,,51.621244,-115.608378,2347.0,,,,,19.0,190.0,,,,,20,
NF,,,,,51.621244,-115.608378,2351.0,,,,,17.0,188.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2355.0,,,,,27.0,132.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2313.0,,,,,72.0,109.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2218.0,,,,,77.0,109.0,,,,,20,
NF,,,,,51.621244,-115.608378,2162.0,,,,,35.0,123.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2156.0,,,,,17.0,147.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2147.0,,,,,20.0,126.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2126.0,,,,,17.0,117.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2116.0,,,,,9.0,115.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2108.0,,,,,9.0,103.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2101.0,,,,,15.0,86.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2076.0,,,,,14.0,94.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2064.0,,,,,12.0,190.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2080.0,,,,,24.0,211.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2099.0,,,,,23.0,197.0,,,0.8,,20,
O1a,,,,,51.621244,-115.608378,2319.0,,,,,16.0,185.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2319.0,,,,,18.0,189.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2322.0,,,,,18.0,191.0,,,,,20,
NF,,,,,51.621244,-115.608378,2328.0,,,,,15.0,195.0,,,,,20,
NF,,,,,51.621244,-115.608378,2333.0,,,,,14.0,199.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2339.0,,,,,13.0,191.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2339.0,,,,,28.0,122.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2285.0,,,,,73.0,103.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,2190.0,,,,,69.0,101.0,,,,,20,
NF,,,,,51.621244,-115.608378,2152.0,,,,,25.0,111.0,,,,,20,
O1a,,,,,51.621244,-115.608378,2149.0,,,,,12.0,130.0,,,0.35,60.0,20,
O1a,,,,,51.621244,-115.608378,2132.0,,,,,18.0,120.0,,,0.35,60.0,20,
C2,,,,,51.621244,-115.608378,2118.0,,,,,15.0,129.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2113.0,,,,,10.0,138.0,,,0.8,,20,
C3,,,,,51.621244,-115.608378,2104.0,,,,,9.0,131.0,,,1.15,,20,
C2,,,,,51.621244,-115.608378,2096.0,,,,,12.0,109.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2080.0,,,,,18.0,97.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2060.0,,,,,12.0,126.0,,,0.8,,20,
