ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,348404,0,0,1.000,0.000,0.000
1,2,348404,0,0,1.000,0.000,0.000
1,3,348404,0,0,1.000,0.000,0.000
1,4,348404,0,0,1.000,0.000,0.000
2,1,348404,0,0,1.000,0.000,0.000
2,2,348404,0,0,1.000,0.000,0.000
2,3,348404,0,0,1.000,0.000,0.000
2,4,348404,0,0,1.000,0.000,0.000
3,1,348403,1,0,1.000,0.000,0.000
3,2,348403,1,0,1.000,0.000,0.000
3,3,348403,1,0,1.000,0.000,0.000
3,4,348403,1,0,1.000,0.000,0.000
3,5,348403,1,0,1.000,0.000,0.000
3,6,348403,1,0,1.000,0.000,0.000
3,7,348403,1,0,1.000,0.000,0.000
3,8,348403,1,0,1.000,0.000,0.000
3,9,348403,1,0,1.000,0.000,0.000
4,1,348403,1,0,1.000,0.000,0.000
4,2,348396,8,0,1.000,0.000,0.000
4,3,348365,39,0,1.000,0.000,0.000
4,4,348309,95,0,1.000,0.000,0.000
4,5,348201,203,0,0.999,0.001,0.000
4,6,348003,401,0,0.999,0.001,0.000
4,7,347584,820,0,0.998,0.002,0.000
4,8,347177,1227,0,0.996,0.004,0.000
4,9,346989,1415,0,0.996,0.004,0.000
5,1,348404,0,0,1.000,0.000,0.000
5,2,348404,0,0,1.000,0.000,0.000
5,3,348404,0,0,1.000,0.000,0.000
5,4,348404,0,0,1.000,0.000,0.000
