ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,399,1,0,0.998,0.003,0.000
1,2,394,6,0,0.985,0.015,0.000
1,3,390,10,0,0.975,0.025,0.000
1,4,380,20,0,0.950,0.050,0.000
1,5,356,44,0,0.890,0.110,0.000
1,6,340,60,0,0.850,0.150,0.000
1,7,332,68,0,0.830,0.170,0.000
1,8,298,102,0,0.745,0.255,0.000
1,9,249,151,0,0.623,0.378,0.000
2,1,400,0,0,1.000,0.000,0.000
2,2,400,0,0,1.000,0.000,0.000
2,3,400,0,0,1.000,0.000,0.000
2,4,400,0,0,1.000,0.000,0.000
3,1,399,1,0,0.998,0.003,0.000
3,2,398,2,0,0.995,0.005,0.000
3,3,395,5,0,0.988,0.013,0.000
3,4,391,9,0,0.978,0.022,0.000
3,5,381,19,0,0.953,0.048,0.000
3,6,365,35,0,0.912,0.087,0.000
3,7,348,52,0,0.870,0.130,0.000
3,8,336,64,0,0.840,0.160,0.000
3,9,322,78,0,0.805,0.195,0.000
4,1,399,1,0,0.998,0.003,0.000
4,2,398,2,0,0.995,0.005,0.000
4,3,395,5,0,0.988,0.013,0.000
4,4,395,5,0,0.988,0.013,0.000
4,5,395,5,0,0.988,0.013,0.000
4,6,395,5,0,0.988,0.013,0.000
4,7,391,9,0,0.978,0.022,0.000
4,8,384,16,0,0.960,0.040,0.000
4,9,368,32,0,0.920,0.080,0.000
5,1,399,1,0,0.998,0.003,0.000
5,2,391,9,0,0.978,0.022,0.000
5,3,381,19,0,0.953,0.048,0.000
5,4,361,39,0,0.902,0.098,0.000
5,5,342,58,0,0.855,0.145,0.000
5,6,320,80,0,0.800,0.200,0.000
5,7,280,120,0,0.700,0.300,0.000
5,8,245,155,0,0.613,0.388,0.000
5,9,208,192,0,0.520,0.480,0.000
